DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO,UNIDADES,CATEGORIA_COMPRAS,CATEGORIA_MATERIAL_PCP
MP002 FITA DE CETIM Nº1 7MMPreta - Cód. 39-7MM,4000,2024-10-24,2024-10-17,2024-10-23,2024-10-25,2024-10-28,107859,Castro e Castro,399.6,0.0,43.59,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMVerde Musgo - cód. 108 Kit-7MM,200,2024-10-24,2024-10-17,2024-10-23,2024-10-25,2024-10-28,107859,Castro e Castro,19.98,0.0,2.18,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMRosa Bebê - Cód. 04 Kit-7MM,200,2024-10-24,2024-10-17,,2024-10-25,2024-10-28,107859,Castro e Castro,19.98,0.0,2.18,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
20336 FERRAGEM A5UNICA-U,6000,2024-10-28,2024-10-17,2024-10-25,2024-10-29,2024-11-04,10544,US Rings,17764.2,423.31,667.2,Elohim,Boleto,3.0,2.96,UNIDADES,Wire-o,FERRAGEM
MP004 ILHOS Nº 54BRANCO-U,10000,2024-10-29,2024-10-22,2024-10-24,2024-10-25,2024-10-28,107866,Castro e Castro,279.9,0.0,30.53,Elohim,Boleto,3.0,0.03,UNIDADES,Resto,ILHOS
MP004 ILHOS Nº 54PRETO-U,50000,2024-10-30,2024-10-23,2024-10-24,2024-10-25,2024-10-28,107866,Castro e Castro,1229.5,0.0,134.13,Elohim,Boleto,3.0,0.02,UNIDADES,Resto,ILHOS
MP111 PELICA CARAMELO 180G/M2 BOB 1300 MMUNICA-U,400,2024-11-06,2024-10-23,2024-10-30,,2024-11-18,4487,Buritama Sintéticos,4390.19,150.57,510.24,Mar,Boleto,3.0,10.98,METROS,Sintéticos,COURO
MP099 PELICA PRETA 180G/M2 Bob 1300 MM - COR 124UNICA-U,1000,2024-11-06,2024-10-23,2024-10-30,2024-11-08,2024-11-18,26100,Buritama Sintéticos,11350.79,389.28,1319.22,Mar,Boleto,3.0,11.35,METROS,Sintéticos,COURO
MP113 PELICA VERDE OLIVA 180G/M2 BOB 1300 MMUNICA-U,450,2024-11-06,2024-10-23,2024-10-30,2024-11-08,2024-11-18,26100,Buritama Sintéticos,4938.96,169.39,574.02,Mar,Boleto,3.0,10.98,METROS,Sintéticos,COURO
MP133 PERCALUX HAVANA 180G/M2 BOB 1300 MMUNICA-U,400,2024-11-06,2024-10-23,2024-10-30,2024-11-08,2024-11-18,26100,Buritama Sintéticos,4390.19,150.57,510.24,Mar,Boleto,3.0,10.98,METROS,Sintéticos,COURO
20347 PEVECRON - CEDRO PRETO 180G/M2 BOB 1400 MMUNICA-U,100,2024-11-06,2024-10-23,2024-10-24,2024-11-01,2024-11-06,7355,Belo Plástico,3164.4,0.0,0.0,Gomes,Cartão,6.0,31.64,METROS,Sintéticos,COURO
Pendente Metalicos 30cm Preto,1000,2024-11-04,2024-10-23,2024-10-19,,2024-10-29,4459,Lassane,320.0,,,Mar,Boleto,3.0,0.32,UNIDADES,Wire-o,PENDENTE
Percalux Verde Pinho 180g/m2 Bob 1400 mm,30,2024-10-29,2024-10-23,2024-10-24,2024-10-24,2024-10-29,14772,Jafi Decorações,525.0,0.0,0.0,Gomes,Cartão,2.0,17.5,METROS,Sintéticos,COURO
20336 FERRAGEM A5UNICA-U,4000,2024-11-25,2024-10-17,2024-10-25,2024-11-21,2024-11-26,10561,US Rings,12434.94,305.27,467.04,Elohim,Boleto,3.0,3.11,UNIDADES,Wire-o,FERRAGEM
Saco Adesivado 15x24 Aba - Meu Pequeno Cicero,1000,2024-11-01,2024-10-24,2024-10-25,2024-10-28,2024-10-31,9372,Brumar Comercio de Embalagens Ltda,150.0,0.0,0.0,Projeto,Boleto,1.0,0.15,UNIDADES,Embalagens,SACO ADESIVADO
MP002 FITA DE CETIM Nº1 7MMVerde Piscina - Cód. 232 Prógresso-7MM,200,2024-10-30,2024-10-25,2024-10-25,2024-10-25,2024-10-31,274578,DSJ Londrina,21.98,10.75,3.28,Projeto,Cartão,1.0,0.11,METROS,Aviamentos,FITA DE CETIM
Saco Adesivado 15x15 - Calendario Mesa,1000,2024-10-30,2024-10-25,2024-10-28,2024-10-29,2024-10-29,1563,Jofer Benfica Embalagens Ltda,150.0,0.0,0.0,Gomes,Cartão,1.0,0.15,UNIDADES,Embalagens,SACO ADESIVADO
Percalux Verde Petróleo 180g/m2 Bob 1400 mm,30,2024-10-31,2024-10-28,2024-10-28,2024-10-29,2024-10-31,14789,Jafi Decorações,525.0,0.0,0.0,Gomes,Cartão,,17.5,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Verde Bandeira - São José-U,200,2024-11-18,2024-10-29,2024-10-30,,2024-11-08,,DSJ Londrina,121.8,,,Projeto,Cartão,3.0,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Musgo - São José-U,600,2024-11-18,2024-10-29,2024-10-30,,2024-11-08,,DSJ Londrina,365.4,28.52,,Projeto,Cartão,3.0,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Vermelho - São José-U,500,2024-11-18,2024-10-29,2024-10-30,,2024-11-08,,DSJ Londrina,304.5,,,Projeto,Cartão,3.0,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Branco - São José-U,40,2024-11-01,2024-11-01,2024-10-30,2024-10-31,2024-10-31,911174,Parco Comércio e Serviços,21.16,0.0,4.23,Projeto,Cartão,1.0,0.53,METROS,Aviamentos,ELASTICO
Percalux Verde Musgo 180g/m2 Bob 1400 mm,20,2024-11-06,2024-11-01,2024-11-04,2024-11-05,2024-11-06,14823,Jafi Decorações,350.0,0.0,0.0,Gomes,Cartão,2.0,17.5,METROS,Sintéticos,COURO
MP099 PELICA PRETA 180G/M2 Bob 1300 MM - COR 124UNICA-U,1200,2024-11-22,2024-11-06,2024-11-07,2024-11-12,2024-11-25,26136,Buritama Sintéticos,12431.82,337.3,1444.86,Universo,Boleto,3.0,10.36,METROS,Sintéticos,COURO
20378 WIRE-O - BOBINA PRETAUNICA-7/8,10,2024-11-13,2024-11-06,2024-11-08,2024-11-11,2024-11-14,210390,Lassane,3586.17,352.9,416.79,Natural,Boleto,3.0,358.62,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-3/4,2,2024-11-13,2024-11-06,2024-11-08,2024-11-11,2024-11-14,210390,Lassane,767.38,75.52,89.19,Natural,Boleto,3.0,383.69,CAIXAS,Wire-o,WIRE-O
MP001 FITA DE CETIM Nº0 4MMVerde Musgo - cód. 108 Kit-4MM,400,2024-10-24,2024-10-17,2024-11-07,2024-11-07,2024-11-07,593194,Tecidos e Armarinhos 253,39.96,0.0,7.99,Projeto,Cartão,1.0,0.1,METROS,Aviamentos,FITA DE CETIM
Percalux Verde Musgo 180g/m2 Bob 1400 mm,20,2024-11-08,2024-11-06,2024-11-07,2024-11-08,2024-11-08,14843,Jafi Decorações,350.0,0.0,0.0,Gomes,Cartão,2.0,17.5,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Verde Bandeira - São José-U,250,2024-11-25,2024-11-12,2024-11-14,,2024-11-21,300777,DSJ Londrina,152.25,,,Natural,Pix,1.0,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,300,2024-11-25,2024-11-12,2024-11-14,,2024-11-21,300777,DSJ Londrina,182.7,,,Natural,Pix,1.0,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Branco - São José-U,150,2024-11-18,2024-11-12,2024-11-14,,2024-11-21,300777,DSJ Londrina,88.65,,,Natural,Pix,1.0,0.59,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMBranco - Cód. 01 Kit-4MM,160,2024-11-18,2024-11-12,2024-11-13,2024-11-14,2024-11-18,110398,Parco Comércio e Serviços,19.98,0.0,2.18,Elohim,Boleto,3.0,0.12,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Bandeira - Cód. 118 Kit-4MM,220,2024-11-18,2024-11-12,2024-11-13,2024-11-14,2024-11-18,110398,Parco Comércio e Serviços,29.97,0.0,3.27,Elohim,Boleto,3.0,0.14,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMLaranja - Cód. 25 Kit-4MM,40,2024-11-18,2024-11-12,2024-11-13,2024-11-14,2024-11-18,110398,Parco Comércio e Serviços,9.99,0.0,1.09,Elohim,Boleto,3.0,0.25,METROS,Aviamentos,FITA DE CETIM
Papelao 1250 g/m2 1.5mm - 800 x 1000,1260,2024-12-02,2024-11-12,2024-11-22,2024-11-25,2024-12-02,38843,Papelão União,4945.69,504.34,620.08,Mar,Boleto,4.0,3.93,FOLHAS,Papelão,PAPELAO
Papelao 1250 g/m2 800 x 1000 - 1.90mm,1000,2024-12-02,2024-11-12,2024-11-22,,2024-12-02,4540,Papelão União,5029.1,497.3,630.53,Mar,Boleto,4.0,5.03,FOLHAS,Papelão,PAPELAO
MP431 PAPELAO CORTADO 27X38 - COLEGIAL 17X24UNICA-U,11400,2024-12-02,2024-11-12,2024-11-22,,2024-12-02,4540,Papelão União,6376.67,655.39,805.8,Mar,Boleto,4.0,0.56,FOLHAS,Papelão,PAPELAO
MP434 PAPELAO CORTADO 29X23.5 - CADERNETA 14X21/9X13UNICA-U,18000,2024-12-02,2024-11-12,2024-11-22,,2024-12-02,4540,Papelão União,8567.87,995.88,1220.16,Mar,Boleto,4.0,0.48,FOLHAS,Papelão,PAPELAO
MP435 PAPELAO CORTADO 36.5X23.5 - ORG.A5/WIRE-O.A5/PLAN17X19.5UNICA-U,18000,2024-12-02,2024-11-12,2024-11-22,,2024-12-02,4540,Papelão União,10783.95,1135.9,1379.46,Mar,Boleto,4.0,0.6,FOLHAS,Papelão,PAPELAO
MP438 PAPELAO CORTADO 43X30 - CADERNO UNIVERSITARIO 20X28UNICA-U,3800,2024-12-02,2024-11-12,2024-11-22,2024-11-25,2024-12-02,38843,Papelão União,3266.03,320.89,404.31,Mar,Boleto,4.0,0.86,FOLHAS,Papelão,PAPELAO
Percalux Verde Petróleo 180g/m2 Bob 1400 mm,15,2024-11-18,2024-11-12,2024-11-19,2024-11-19,2024-11-19,14873,Jafi Decorações,230.0,0.0,0.0,Elohim,Pix,1.0,15.33,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,500,2024-12-12,2024-11-12,2024-12-03,2024-12-06,,325043,DSJ Londrina,304.5,,37.81,Universo,Pix,1.0,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Royal - São José-U,600,2024-12-12,2024-11-12,2024-12-03,2024-12-06,2024-12-10,325043,DSJ Londrina,365.4,,45.37,Universo,Pix,1.0,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Marrom - São José-U,600,2024-12-12,2024-11-12,2024-12-03,2024-12-06,2024-12-10,325043,DSJ Londrina,365.4,,45.37,Universo,Pix,1.0,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Preto - São José-U,500,2024-12-12,2024-11-12,2024-12-03,2024-12-06,2024-12-10,325043,DSJ Londrina,304.5,,37.81,Universo,Pix,1.0,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Musgo - São José-U,1300,2024-12-12,2024-11-12,2024-12-12,,2024-12-27,332924,DSJ Londrina,791.7,,,Universo,Boleto,1.0,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Vinho - Monitex-U,600,2024-11-21,2024-11-12,2024-11-13,2024-11-26,2024-11-25,37880,Elásticos Monitex,256.14,0.0,0.85,Elohim,Boleto,1.0,0.43,METROS,Aviamentos,ELASTICO
20347 PEVECRON - CEDRO PRETO 180G/M2 BOB 1400 MMUNICA-U,100,2024-11-25,2024-11-12,2024-11-13,2024-11-21,2024-11-25,7585,Belo Plástico,3164.4,0.0,0.0,Gomes,Cartão,6.0,31.64,METROS,Sintéticos,COURO
MP113 PELICA VERDE OLIVA 180G/M2 BOB 1300 MMUNICA-U,400,2024-11-25,2024-11-12,2024-11-13,2024-11-28,2024-11-28,26250,Buritama Sintéticos,5487.84,0.0,637.8,Bela,Boleto,3.0,13.72,METROS,Sintéticos,COURO
Pendente Metalicos 30cm Preto,1000,2024-11-25,2024-11-12,2024-11-22,2024-11-27,2024-11-28,211313,Lassane,320.02,35.86,41.36,Mar,Boleto,3.0,0.32,UNIDADES,Wire-o,PENDENTE
MP001 FITA DE CETIM Nº0 4MMAzul Marinho - Cód. 120 Kit-4MM,200,2024-11-22,2024-11-13,2024-11-13,,2024-11-18,110398,Parco Comércio e Serviços,19.98,,,Mar,Boleto,2.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMDourada - Cód. 87 Kit-4MM,400,2024-11-22,2024-11-13,2024-11-13,,2024-11-18,110398,Parco Comércio e Serviços,39.96,,,Mar,Boleto,2.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPreta - Cód. 39-4MM,600,2024-11-22,2024-11-13,2024-11-13,,2024-11-18,110398,Parco Comércio e Serviços,59.94,,,Mar,Boleto,2.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Piscina - Cód. 232 Prógresso-4MM,200,2024-11-22,2024-11-13,2024-12-12,,2024-12-27,332924,DSJ Londrina,21.98,,,Universo,Boleto,1.0,0.11,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVinho - Cód. 37 Kit-4MM,200,2024-11-22,2024-11-13,2024-11-13,2024-11-25,2024-11-25,25171,Parco Comércio e Serviços,25.98,0.0,3.12,Gomes,Cartão,1.0,0.13,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMAzul Marinho - Cód. 120 Kit-7MM,200,2024-11-22,2024-11-13,2024-11-13,,2024-11-18,110398,Parco Comércio e Serviços,35.2,,,Mar,Boleto,2.0,0.18,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMPreta - Cód. 39-7MM,5000,2024-11-22,2024-11-13,2024-11-13,,2024-11-18,110398,Parco Comércio e Serviços,499.5,,,Mar,Boleto,2.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarrom - cód. 32-4MM,200,2024-11-22,2024-11-13,2024-11-13,,2024-11-18,110398,Parco Comércio e Serviços,19.98,,,Mar,Boleto,2.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPreta - Cód. 39-4MM,600,2024-11-29,2024-11-19,2024-12-02,2024-12-02,2024-12-02,80981,Parco Comércio e Serviços,77.94,0.0,9.35,Projeto,Cartão,1.0,0.13,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Marinho - Cód. 120 Kit-4MM,200,2024-11-29,2024-11-19,2024-12-02,2024-12-02,2024-12-02,80981,Parco Comércio e Serviços,25.98,0.0,3.12,Projeto,Cartão,1.0,0.13,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Musgo - cód. 108 Kit-4MM,300,2024-11-29,2024-11-19,2024-11-25,2024-11-25,2024-11-25,25171,Parco Comércio e Serviços,38.97,0.0,4.68,Gomes,Cartão,1.0,0.13,METROS,Aviamentos,FITA DE CETIM
Fita de Cetim Nº0 4mm Areia - Cód. 1643 Colore,50,2024-12-02,2024-11-19,2024-11-22,2024-11-29,2024-12-02,61458,GPA Ind. Com. Embalagens Ltda,8175.0,0.0,1635.0,Mar,Boleto,2.0,163.5,UNIDADES,Cola,FITA DE CETIM
Percalux Verde Pinho 180g/m2 Bob 1400 mm,20,2024-11-26,2024-11-19,2024-11-22,2024-11-26,2024-11-27,14895,Jafi Decorações,350.0,0.0,0.0,Elohim,Pix,1.0,17.5,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Amarelo Ouro - São José-U,500,2024-12-21,2024-11-21,2024-11-26,2024-12-05,2024-12-21,157506,Fábrica de Elásicos São José,227.3,,27.28,Mar,Boleto,6.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Bebê - São José-U,1500,2024-12-21,2024-11-21,2024-11-26,2024-12-05,2024-12-21,157506,Fábrica de Elásicos São José,681.9,,81.83,Mar,Boleto,6.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,500,2024-12-21,2024-11-21,2024-11-26,2024-12-05,2024-12-21,157506,Fábrica de Elásicos São José,227.3,,27.28,Mar,Boleto,6.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Royal - São José-U,5000,2024-12-21,2024-11-21,2024-11-26,2024-12-05,2024-12-21,157506,Fábrica de Elásicos São José,2273.0,,272.76,Mar,Boleto,6.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Dourado - São José-U,1500,2024-12-21,2024-11-21,2024-11-26,2024-12-05,2024-12-21,157506,Fábrica de Elásicos São José,934.2,,112.1,Mar,Boleto,6.0,0.62,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Marfim - São José-U,300,2024-12-21,2024-11-21,2024-11-26,2024-12-05,2024-12-21,157506,Fábrica de Elásicos São José,136.38,,16.37,Mar,Boleto,6.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Marrom - São José-U,500,2024-12-21,2024-11-21,2024-11-26,2024-12-05,2024-12-21,157506,Fábrica de Elásicos São José,227.3,,27.28,Mar,Boleto,6.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Preto - São José-U,2500,2024-12-21,2024-11-21,2024-11-26,2024-12-05,2024-12-21,157506,Fábrica de Elásicos São José,1136.5,,136.38,Mar,Boleto,6.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Rosa Bebê - São José-U,500,2024-12-21,2024-11-21,2024-11-26,2024-12-05,2024-12-21,157506,Fábrica de Elásicos São José,227.3,,27.28,Mar,Boleto,6.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Agua - São José-U,2200,2024-12-21,2024-11-21,2024-11-26,2024-12-05,2024-12-21,157506,Fábrica de Elásicos São José,1000.12,,120.01,Mar,Boleto,6.0,0.45,METROS,Aviamentos,ELASTICO
20378 WIRE-O - BOBINA PRETAUNICA-7/8,10,2024-12-02,2024-11-21,2024-11-22,2024-11-27,2024-11-28,211313,Lassane,3233.27,362.3,417.89,Mar,Boleto,3.0,323.33,CAIXAS,Wire-o,WIRE-O
MP001 FITA DE CETIM Nº0 4MMAmarelo Ouro - Cód. 132 Kit-4MM,300,2024-12-02,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,29.97,0.0,3.27,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Bebê - Cód. 104 Kit-4MM,600,2024-12-02,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,59.94,0.0,6.54,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Marinho - Cód. 120 Kit-4MM,200,2024-12-02,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,19.98,0.0,2.18,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMDourada - Cód. 87 Kit-4MM,300,2024-12-02,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,29.97,0.0,3.27,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Royal - cód. 40-4MM,2000,2024-12-02,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,199.8,0.0,21.8,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarfim - Cód.02 Kit-4MM,200,2024-12-02,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,19.98,0.0,2.18,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarrom - cód. 32-4MM,200,2024-12-02,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,19.98,0.0,2.18,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPreta - Cód. 39-4MM,1500,2024-12-02,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,149.85,0.0,16.35,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Musgo - cód. 108 Kit-4MM,300,2024-12-02,2024-11-21,2024-12-02,2024-12-02,2024-12-02,80981,Parco Comércio e Serviços,38.97,0.0,4.68,Projeto,Cartão,1.0,0.13,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Piscina - Cód. 232 Prógresso-4MM,1000,2024-12-02,2024-11-21,2024-11-27,,2024-12-05,,Armarinho São José,109.9,13.0,,Universo,Pix,1.0,0.11,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVinho - Cód. 37 Kit-4MM,200,2024-12-02,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,19.98,0.0,2.18,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMDourada - Cód. 87 Kit-7MM,200,2024-12-02,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,19.98,0.0,2.18,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Bandeira - Cód. 118 Kit-4MM,200,2024-12-02,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,19.98,0.0,2.18,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
Saco Adesivado 15x24 Aba - Meu Pequeno Cicero,1000,2024-12-11,2024-11-21,2024-11-26,2024-11-28,2024-11-29,9532,Brumar Comercio de Embalagens Ltda,150.0,15.0,0.0,Bela,Pix,1.0,0.15,UNIDADES,Embalagens,SACO ADESIVADO
20336 FERRAGEM A5UNICA-U,4000,2024-12-11,2024-11-21,2024-11-22,2024-11-26,2024-12-11,10566,US Rings,12434.94,170.5,467.04,Mar,Boleto,3.0,3.11,UNIDADES,Wire-o,FERRAGEM
20337 FERRAGEM 17X24UNICA-U,4000,2024-12-11,2024-11-21,2024-11-22,2024-11-26,2024-12-11,10566,US Rings,10254.67,170.5,385.15,Mar,Boleto,3.0,2.56,UNIDADES,Wire-o,FERRAGEM
MP004 ILHOS Nº 54PRATA-U,10000,2024-12-11,2024-11-21,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,245.9,0.0,26.83,Mar,Boleto,3.0,0.02,UNIDADES,Resto,ILHOS
MP427 REBITE FERRO EBERLE - NIQUELADOUNICA-U,50000,2025-01-06,2024-11-21,2024-12-11,2025-02-04,2025-01-17,1110702,Mundial SA Produtos de Consumo,5602.2,0.0,473.32,Mar,Boleto,3.0,0.11,UNIDADES,Resto,REBITE
Saco Adesivado 15x15 - Calendario Mesa,1000,2024-11-28,2024-11-22,2024-11-26,2024-11-26,2024-11-26,37880,Prodesc Benfica Embalagens Ltda Me,150.0,0.0,0.0,Bela,Pix,1.0,0.15,UNIDADES,Embalagens,SACO ADESIVADO
Percalux Verde Petróleo 180g/m2 Bob 1400 mm,30,2024-11-29,2024-11-25,2024-12-12,2024-12-13,2024-12-13,14963,Jafi Decorações,525.0,0.0,0.0,Elohim,Pix,1.0,17.5,METROS,Sintéticos,COURO
MP002 FITA DE CETIM Nº1 7MMVerde Musgo - cód. 108 Kit-7MM,300,2024-11-25,2024-11-25,2024-11-25,2024-11-25,2024-11-25,25171,Parco Comércio e Serviços,38.97,0.0,4.68,Gomes,Cartão,1.0,0.13,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMVerde Musgo - cód. 108 Kit-7MM,300,2024-11-27,2024-11-25,2024-11-25,2024-11-29,2024-11-29,111927,Castro e Castro,29.97,0.0,3.27,Mar,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP126 Percalux Preto 180g/m2 Bob 1300 mmUNICA-U,150,2024-12-02,2024-11-25,2024-11-26,2024-11-27,2024-12-02,14902,Jafi Decorações,2625.0,0.0,0.0,Elohim,Pix,1.0,17.5,METROS,Sintéticos,COURO
Percalux Verde Pinho 180g/m2 Bob 1400 mm,30,2024-12-02,2024-11-27,2024-12-28,2024-12-05,2024-12-10,14934,Jafi Decorações,525.0,0.0,0.0,Elohim,Pix,1.0,17.5,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Verde Bandeira - São José-U,1000,2024-12-30,2024-11-27,2024-11-26,2024-12-05,2024-12-21,157506,Fábrica de Elásicos São José,454.6,,54.55,Mar,Boleto,6.0,0.45,METROS,Aviamentos,ELASTICO
MP111 PELICA CARAMELO 180G/M2 BOB 1300 MMUNICA-U,400,2024-12-14,2024-11-27,2024-12-03,2024-12-10,2024-12-14,26342,Buritama Sintéticos,5945.65,174.99,691.02,Mar,Boleto,3.0,14.86,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Verde Bandeira - São José-U,100,2024-12-09,2024-11-27,2024-12-09,,2024-12-09,111890,Parco Comércio e Serviços,54.9,,,Projeto,Cartão,1.0,0.55,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMVerde Bandeira - Cód. 118 Kit-4MM,50,2024-12-09,2024-11-27,2024-12-02,2024-12-02,2024-12-02,80981,Parco Comércio e Serviços,12.99,0.0,1.56,Projeto,Cartão,1.0,0.26,METROS,Aviamentos,FITA DE CETIM
MP003 ELASTICO Nº 12Verde Limão - São José-U,20,2024-12-05,2024-11-27,2024-12-03,2024-12-06,2024-12-09,325043,DSJ Londrina,12.18,,1.51,Universo,Pix,1.0,0.61,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMVerde Folha - Cod 76 Kit-4MM,20,2024-12-05,2024-11-27,2024-12-02,2024-12-02,2024-12-02,80981,Parco Comércio e Serviços,12.99,0.0,1.56,Projeto,Cartão,1.0,0.65,METROS,Resto,FITA DE CETIM
Percalux Cinza Granito 180g/m2 Bob 1400 mm,30,2024-12-04,2024-11-29,2024-11-28,2024-12-05,2024-12-10,14934,Jafi Decorações,525.0,0.0,0.0,Elohim,Pix,1.0,17.5,METROS,Sintéticos,COURO
MP004 ILHOS Nº 54BRANCO-U,10000,2024-12-12,2024-12-02,2024-12-02,2024-12-02,2024-12-02,80981,Parco Comércio e Serviços,245.9,0.0,29.51,Projeto,Cartão,1.0,0.02,UNIDADES,Resto,ILHOS
