DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO
Offset 63g/m2 72x102,96000,05/05/2025,12/05/2025,08/05/2025,14/05/2025,14/05/2025,41122,Suzano,39359.73,0.0,4574.5,Bruniel,Boleto,4,R$ 0.41
Offset 75g/m2 76x112,146000,30/04/2025,05/05/2025,06/05/2025,06/05/2025,06/05/2025,840961,Suzano,84250.86,0.0,9791.87,Bruniel,Boleto,3,R$ 0.58
MP023 OFFSET 75G/M2 89X117UNICA-U,51000,05/05/2025,12/05/2025,08/05/2025,13/05/2025,14/05/2025,249186,Rio Branco Papéis,39610,0.0,4753.2,Bruniel,Boleto,3,R$ 0.78
Offset 63g/m2 89x117,87500,05/05/2025,12/05/2025,08/05/2025,23/05/2025,03/06/2025,904,PPL Comercial Varejista e Atacadista,52990.06,3000.0,6358.8,Bruniel,Boleto,3,R$ 0.61
MP032 Offset 180g/m2 76x112UNICA-U,8000,05/05/2025,12/05/2025,12/05/2025,13/05/2025,16/05/2025,40978,Suzano,11473.28,0.0,1333.46,Bruniel,Boleto,3,R$ 1.43
MP033 Offset 180g/m2 89x117UNICA-U,5750,05/05/2025,12/05/2025,13/05/2025,13/05/2025,16/05/2025,249178,Rio Branco Papéis,12420,0.0,1490.4,Bruniel,Boleto,3,R$ 2.16
MP042 Polen Natural 80g/m2 66x96UNICA-U,17600,07/05/2025,13/05/2025,26/05/2025,27/05/2025,28/05/2025,42251,Suzano,7979.56,0.0,957.55,Bruniel,Boleto,3,R$ 0.45
20403 SCRITURA 130G - 66X96UNICA-U,65250,07/05/2025,07/07/2025,12/05/2025,25/06/2025,07/07/2025,5839,Verde Forte,65176.04,3295.74,7575.01,Mar,Boleto,3,R$ 1.00
Kraft Natural 180g/m2 66x96,750,07/05/2025,15/05/2025,14/05/2025,23/05/2025,26/05/2025,6774,N.S.P Papéis,724,40.0,160.59,Bruniel,Boleto,5,R$ 0.97
Offset 120g/m2 64x88,12500,07/05/2025,15/05/2025,09/05/2025,09/05/2025,15/05/2025,248914,Rio Branco Papéis,8204.95,0.0,984.59,Bruniel,Boleto,3,R$ 0.66
MP028 Offset 120g/m2 66x96UNICA-U,21500,07/05/2025,15/05/2025,09/05/2025,09/05/2025,15/05/2025,248914,Rio Branco Papéis,15874.49,0.0,1904.94,Bruniel,Boleto,3,R$ 0.74
Couche Brilho 150g/m2 66x96,2500,07/05/2025,15/05/2025,09/05/2025,09/05/2025,15/05/2025,248914,Rio Branco Papéis,2080,0.0,83.2,Bruniel,Boleto,3,R$ 0.83
Kraft Natural 110g/m2 - 66x96,8000,07/05/2025,15/05/2025,09/05/2025,09/05/2025,15/05/2025,248914,Rio Branco Papéis,5504,0.0,660.48,Bruniel,Boleto,3,R$ 0.69
Cartao Supremo Alta Alvura 250g/m2 77x113,1500,07/05/2025,15/05/2025,26/05/2025,26/05/2025,28/05/2025,42449,Suzano,3026.02,0.0,351.69,Bruniel,Boleto,3,R$ 2.02
Papel Adesivo Brilho 190g/m2 66x96 - SEM LINER,1800,07/05/2025,15/05/2025,13/05/2025,13/05/2025,16/05/2025,249176,Rio Branco Papéis,4410,0.0,529.2,Bruniel,Boleto,3,R$ 2.45
MP027 Offset 240g/m2 66x96UNICA-U,3250,07/05/2025,15/05/2025,14/05/2025,23/05/2025,26/05/2025,6774,N.S.P Papéis,5278,0.0,1168.65,Bruniel,Boleto,5,R$ 1.62
Offset 240g/m2 76x112,7000,07/05/2025,15/05/2025,09/05/2025,09/05/2025,15/05/2025,248914,Rio Branco Papéis,15680,0.0,1881.6,Bruniel,Boleto,3,R$ 2.24
Papel Adesivo Brilho 190g/m2 66x96,4700,09/05/2025,15/05/2025,13/05/2025,13/05/2025,16/05/2025,249178,Rio Branco Papéis,11515,0.0,1381.8,Bruniel,Boleto,3,R$ 2.45
Cartao Supremo Alta Alvura 250g/m2 66x96,600,12/05/2025,16/05/2025,26/05/2025,27/05/2025,28/05/2025,42550,Suzano,854.71,0.0,99.34,Bruniel,Boleto,3,R$ 1.42
MP062 Couche Brilho 170g/m2 76x112UNICA-U,10950,08/04/2025,21/04/2025,26/05/2025,27/05/2025,28/05/2025,845601,Suzano,13400.01,0.0,1557.39,Bruniel,Boleto,3,R$ 1.22
20524 COUCHE MATTE 150G/M2 66X96UNICA-U,1500,15/05/2025,20/05/2025,22/05/2025,22/05/2025,27/05/2025,844690,Suzano,1205.36,0.0,140.08,Bruniel,Boleto,3,R$ 0.80
20525 COUCHE MATTE 150G/M2 76X112UNICA-U,1500,15/05/2025,20/05/2025,22/05/2025,23/05/2025,28/05/2025,42258,Suzano,1205.28,0.0,183.67,Bruniel,Boleto,3,R$ 0.80
MP062 Couche Brilho 170g/m2 76x112UNICA-U,3750,16/05/2025,22/05/2025,22/05/2025,22/05/2025,27/05/2025,844689,Suzano,4589.13,0.0,533.36,Bruniel,Boleto,3,R$ 1.22
Offset 63g/m2 72x102,60500,05/05/2025,12/05/2025,22/05/2025,22/05/2025,26/05/2025,42080,Suzano,24804.87,0.0,2882.89,Bruniel,Boleto,4,R$ 0.41
Papel Adesivo Brilho 190g/m2 66x96 - SEM LINER,300,22/05/2025,26/05/2025,26/05/2025,26/05/2025,27/05/2025,250440,Rio Branco Papéis,777,0.0,93.24,Bruniel,Boleto,1,R$ 2.59
MP042 Polen Natural 80g/m2 66x96UNICA-U,32500,10/04/2025,24/04/2025,04/06/2025,10/06/2025,12/06/2025,44069,Suzano,17801,0.0,2068.88,Asaliah,Boleto,3,R$ 0.55
MP062 Couche Brilho 170g/m2 76x112UNICA-U,1000,08/04/2025,21/04/2025,16/06/2025,17/06/2025,20/06/2025,44803,Suzano,1111.46,0.0,129.18,Bruniel,Boleto,3,R$ 1.11
Offset 63g/m2 89x117,24500,05/05/2025,12/05/2025,08/05/2025,23/05/2025,,903,PPL Comercial Varejista e Atacadista,14837.26,,1780.46,Bruniel,Boleto,3,R$ 0.61
Polen Natural 80g/m2 64x88,157500,04/06/2025,11/06/2025,04/06/2025,06/06/2025,11/06/2025,43741,Suzano,62307.78,0.0,7241.58,Asaliah,Boleto,3,R$ 0.40
Color Plus Los Angeles 120g/m2 660 x 960,4,06/06/2025,10/06/2025,12/06/2025,12/06/2025,12/06/2025,137754,Diplomata Papéis,21.16,0.0,0.0,Universo,Dinheiro,1,R$ 5.29
MP039 Offset 90g/m2 76x112UNICA-U,7250,09/06/2025,16/06/2025,09/06/2025,10/06/2025,16/06/2025,7140,N.S.P. Comercial de Papéis Ltda RJ,5260,40.0,1157.2,Bruniel,Boleto,5,R$ 0.73
Polen Natural 80g/m2 87x114,41750,09/06/2025,16/06/2025,09/06/2025,11/06/2025,16/06/2025,44203,Suzano,29086.39,0.0,3380.57,Bruniel,Boleto,3,R$ 0.70
MP042 Polen Natural 80g/m2 66x96UNICA-U,47500,09/06/2025,16/06/2025,09/06/2025,11/06/2025,16/06/2025,44203,Suzano,21138.45,0.0,2456.82,Bruniel,Boleto,3,R$ 0.45
MP062 Couche Brilho 170g/m2 76x112UNICA-U,2150,09/06/2025,16/06/2025,16/06/2025,17/06/2025,20/06/2025,44804,Suzano,2381.65,0.0,276.8,Bruniel,Boleto,3,R$ 1.11
MP039 Offset 90g/m2 76x112UNICA-U,2300,16/06/2025,17/06/2025,16/06/2025,16/06/2025,17/06/2025,4932,N.S.P Papéis,2224,40.0,,Bruniel,Boleto,3,R$ 0.97
Kraft Natural 170g/m2 66x96,1000,16/06/2025,20/06/2025,18/06/2025,18/06/2025,20/06/2025,7295,N.S.P Papéis,945,40.0,207.9,Bruniel,Boleto,2,R$ 0.95
Couche Matte 115g/m2 66X96,5,12/06/2025,12/06/2025,12/06/2025,12/06/2025,12/06/2025,137754,Diplomata Papéis,7,0.0,0.0,Universo,Dinheiro,1,R$ 1.40
MP042 Polen Natural 80g/m2 66x96UNICA-U,27500,20/06/2025,27/06/2025,23/06/2025,24/06/2025,27/06/2025,45376,Suzano,12238.14,0.0,1422.35,Bruniel,Boleto,3,R$ 0.45
20524 COUCHE MATTE 150G/M2 66X96UNICA-U,1500,27/06/2025,02/07/2025,03/07/2025,03/07/2025,08/07/2025,853084,Suzano,1242.18,0.0,144.37,Bruniel,Boleto,3,R$ 0.83
20525 COUCHE MATTE 150G/M2 76X112UNICA-U,1500,27/06/2025,02/07/2025,03/07/2025,04/07/2025,04/07/2025,46761,Suzano,1636.35,0.0,190.18,Bruniel,Boleto,3,R$ 1.09
MP027 Offset 240g/m2 66x96UNICA-U,11750,30/06/2025,04/07/2025,01/07/2025,02/07/2025,04/07/2025,46499,Suzano,16475.26,0.0,1914.8,Bruniel,Boleto,3,R$ 1.40
MP060 Couche Brilho 170g/m2 66x96UNICA-U,500,01/07/2025,08/07/2025,03/07/2025,03/07/2025,10/07/2025,46641,Suzano,460.34,0.0,53.5,Bruniel,Boleto,3,R$ 0.92
Couche FIT Brilho 90g 64x88,5500,01/07/2025,08/07/2025,03/07/2025,03/07/2025,10/07/2025,46641,Suzano,2079.87,0.0,241.73,Bruniel,Boleto,3,R$ 0.38
MP062 Couche Brilho 170g/m2 76x112UNICA-U,10000,03/07/2025,11/07/2025,04/07/2025,04/07/2025,11/07/2025,254218,Rio Branco Papéis,14204,0.0,1704.48,Bruniel,Boleto,3,R$ 1.42
Papel Adesivo Brilho 190g/m2 66x96 - SEM LINER,100,09/07/2025,14/07/2025,15/07/2025,15/07/2025,15/07/2025,91885,Suzano,248.5,0.0,,Bruniel,Boleto,3,R$ 2.49
Couche FIT Brilho 90g 64x88,900,09/07/2025,11/07/2025,10/07/2025,10/07/2025,14/07/2025,47330,Suzano,378.22,0.0,43.96,Bruniel,Boleto,3,R$ 0.42
MP027 Offset 240g/m2 66x96UNICA-U,6000,10/07/2025,14/07/2025,15/07/2025,15/07/2025,17/07/2025,47816,Suzano,8495.2,0.0,987.35,Bruniel,Boleto,3,R$ 1.42
Color Plus Pequim 120G,5,10/07/2025,14/07/2025,16/07/2025,17/07/2025,23/07/2025,29963,Papel Avulso Ltda,129.45,84.95,0.0,Asaliah,Cartão,6,R$ 25.89
Offset 180g/m2 64x88,2700,14/07/2025,18/07/2025,15/07/2025,16/07/2025,18/07/2025,47969,Suzano,2596.55,0.0,301.77,Bruniel,Boleto,3,R$ 0.96
Cartao Supremo Alta Alvura 250g/m2 66x96,600,14/07/2025,18/07/2025,15/07/2025,16/07/2025,18/07/2025,47969,Suzano,884.76,0.0,102.83,Bruniel,Boleto,3,R$ 1.47
MP028 Offset 120g/m2 66x96UNICA-U,5000,22/07/2025,26/07/2025,23/07/2025,24/07/2025,28/07/2025,48796,Suzano,3375.7,0.0,392.33,Bruniel,Boleto,3,R$ 0.68
MP027 Offset 240g/m2 66x96UNICA-U,1200,23/07/2025,28/07/2025,23/07/2025,23/07/2025,28/07/2025,4993,Suzano,1698.71,,,Bruniel,Boleto,3,R$ 1.42
Papel Reciclato 75g 66 x 96,500,30/07/2025,07/08/2025,31/07/2025,31/07/2025,07/08/2025,858850,Suzano,229.46,0.0,26.67,Bruniel,Boleto,3,R$ 0.46
